history;Population;block;Individual;t;Treatment;Transplanting Date;Initial height(cm);Initial height;Flowering date;1cm bud date;Days to flowering;Days to achieve 1 cm bud;Total days;Total days1;Width (cm);Height (cm);vollum (cm3);N? buds;N? leaves;Bud biomass (mg);Roots biomass (mg);Aboveground biomass without leaves(mg);Aboveground biommas(mg);Total biomass(mg);Total.biomass1;root_shoot ratio;Stage;Flowering;Estmating the remain days;;flower sex;SLA LL(cm2/mg);SLA LM(cm2/mg);SLA LH(cm2/mg);SLA (cm2/mg);Fresh weight LL(mg);Turgid weight LL(mg);Dry weight LL(mg);Fresh weight LM(mg);Turgid weight LM(mg);Dry weight LM(mg);Fresh weight LH(mg);Turgid weight LH(mg);Dry weight LH(mg);RWC;Moisture (%);Leaves density;Relative growth rate;initial biomass_exp;initial biomass_linear;relative efficiency index 
AT;#10;5;11;ambient;ambient;20.01.2017;NA;0.5;15.03.2017;16.04.2017;54;32;86;NA;19;41.2;11675.46;12;65;6.2;2829;2820;3201.8;6037;6.037;0.88;5;1;;;M;0.395;0.226;0.19;0.27;52.3;68.7;13.2;946.6;1082.7;298.9;205.9;236.9;69.7;0.782;32.5;1.58;0.47;2.341103735;-62.38445;40.7
AT;#10;5;8;elevated;elevated;20.01.2017;2.4;2.4;09.03.2017;21.03.2017;48;12;60;60;18;52.3;13301.98;14;83;1.8;2255.7;5430;5643.4;7900.9;7.9009;0.4;5;1;;;M;0.39;0.332;0.363;0.362;42.4;50.8;10.1;677.7;810.3;149.6;224.3;265.4;53.7;0.8;9.6;1.59;0.83;3.84167627;-34.08642;0.76
AT;#10;5;9;elevated;elevated;20.01.2017;NA;5;15.03.2017;03.04.2017;54;19;73;73;16.2;57.2;11784.08;10;71;4;2308.2;6100;6359.3;8671.5;8.6715;0.36;5;1;;;M;0.305;0.187;0.182;0.224;28.2;34.2;7.9;463.8;532.6;163.8;239.4;279.8;87.6;0.792;16.75;1.24;0.72;7.566033849;4.6372;0.8
AT;#10;5;7;elevated;elevated;20.01.2017;6.4;6.4;09.03.2017;23.03.2017;48;14;62;62;21.3;56;19944.21;6;78;2.8;2714.1;5830;6042.6;8759.5;8.7595;0.45;5;1;;;M;0.522;0.303;0.296;0.374;37.2;46.1;6.7;694.7;802.8;160.5;154.9;213.2;45.4;0.753;11.75;1.39;0.8;10.89840883;25.48838;0.76
AT;#10;5;26;ambient;ambient;20.01.2017;12.1;12.1;23.02.2017;01.03.2017;34;6;40;40;22.6;50.2;20127.52;7;80;7.1;2253;6700;6880;9140.1;9.1401;0.33;5;1;;;M;0.404;0.288;0.336;0.343;90.4;108.6;15.5;748.1;915;160.9;14.1;26.4;3.6;0.681;10.05;1.59;0.95;48.15744272;110.38247;38.1
AT;#10;5;19;elevated;elevated;20.01.2017;4.1;4.1;20.03.2017;28.03.2017;59;8;67;67;14.6;72.6;12148.2;8;38;3.8;2498.5;6410;6656.2;9158.5;9.1585;0.38;5;1;;;M;0.319;0.258;0.243;0.273;100.8;121.7;20.7;540.8;643.3;158.3;218;255.5;67.2;0.794;29.2;0.52;1.02;5.983823231;-8.76713;1.05
AT;#10;5;2;ambient;ambient;20.01.2017;4.8;4.8;09.03.2017;21.03.2017;48;12;60;60;16.8;70.8;15686.33;6;67;2;1957.3;7290;7481.2;9440.5;9.4405;0.26;5;1;;;M;0.446;0.208;0.444;0.366;223.9;289.3;38.4;366.3;439.3;86.1;210.4;287.1;66.7;0.728;18.35;0.95;1.1;7.181681875;1.65846;66
AT;#10;5;16;elevated;elevated;20.01.2017;4.6;4.6;03.03.2017;23.03.2017;42;20;62;62;19.2;33.6;9723.25;8;103;3.1;2593.6;6620;6940.1;9536.8;9.5368;0.37;5;1;;;M;0.364;0.26;0.229;0.284;43.5;54.1;11.7;633.9;745;204.8;282.3;344.3;103.6;0.762;13.3;3.07;0.47;6.816854851;-1.32028;0.44
AT;#10;5;35;elevated;elevated;20.01.2017;18.6;18.6;02.03.2017;14.03.2017;41;12;53;53;20.7;63.2;21258.25;5;93;2.2;2772.4;6620;6845.1;9619.7;9.6197;0.41;5;1;;;M;0.364;0.23;0.226;0.274;32;40.7;7.1;435.3;541;136.4;228.3;315.7;81.6;0.702;11.2;1.47;0.84;262.1393415;207.19152;0.68
AT;#10;5;17;elevated;elevated;20.01.2017;NA;2;02.03.2017;16.03.2017;41;14;55;55;22.1;50.8;19476.81;8;89;4.5;2675.4;6710;7037.3;9717.2;9.7172;0.38;5;1;;;M;0.344;0.235;0.194;0.258;26.4;30.5;6.4;689.2;795.1;227.3;242.3;292.2;93.6;0.797;14.15;1.75;0.89;3.461278398;-40.0439;0.75
